종목코드,종목명,종가,대비,등락률,상장시가총액
"175330","JB금융지주","13980","-210","-1.48","2727263.0"
"088350","한화생명","2760","-30","-1.08","2397143.0"
"081660","휠라홀딩스","39450","150","0.38","2396675.0"
"028670","팬오션","4275","-105","-2.40","2285285.0"
"204320","HL만도","49600","4900","10.96","2329073.0"
"000120","CJ대한통운","101800","0","0.00","2322297.0"
"020150","롯데에너지머티리얼즈","49950","750","1.52","2303236.0"
"008770","호텔신라","56500","-300","-0.53","2217519.0"
"008930","한미사이언스","32500","50","0.15","2222725.0"
"012750","에스원","61700","-600","-0.96","2344549.0"
"007070","GS리테일","21850","-700","-3.10","2288087.0"
"030000","제일기획","18710","-50","-0.27","2152421.0"
"073240","금호타이어","7040","-90","-1.26","2022312.0"
"112610","씨에스윈드","50500","-300","-0.59","2129656.0"
"282330","BGF리테일","117000","-1700","-1.43","2022217.0"
"014680","한솔케미칼","181100","-1100","-0.60","2052804.0"
"026960","동서","18390","0","0.00","1833483.0"
"010060","OCI홀딩스","93400","-200","-0.21","1827276.0"
"192820","코스맥스","161300","-1600","-0.98","1830676.0"
"000880","한화","26250","-1200","-4.37","1967667.0"
"023530","롯데쇼핑","64600","-400","-0.62","1827454.0"
"000990","DB하이텍","43150","400","0.94","1915799.0"
"139480","이마트","60200","-400","-0.66","1678124.0"
"103140","풍산","58200","-1900","-3.16","1631013.0"
"005850","에스엘","36800","1100","3.08","1709306.0"
"009420","한올바이오파마","32850","-350","-1.05","1716105.0"
"007310","오뚜기","445000","3500","0.79","1783484.0"
"004490","세방전지","108800","2200","2.06","1523200.0"
"011210","현대위아","57900","2800","5.08","1574595.0"
"017800","현대엘리베이","40500","400","1.00","1583242.0"
"004170","신세계","163200","700","0.43","1606734.0"
"002710","TCC스틸","54500","5150","10.44","1428646.0"
"000240","한국앤컴퍼니","15230","100","0.66","1445864.0"
"298050","효성첨단소재","350000","-4000","-1.13","1567982.0"
"298020","효성티앤씨","371000","-5500","-1.46","1605570.0"
"280360","롯데웰푸드","158900","2000","1.27","1499154.0"
"161890","한국콜마","62700","-1300","-2.03","1480038.0"
"111770","영원무역","33100","-100","-0.30","1466710.0"
"051600","한전KPS","35750","100","0.28","1608750.0"
"047040","대우건설","3645","-20","-0.55","1514945.0"
"336260","두산퓨얼셀","22900","-650","-2.76","1499806.0"
"042670","HD현대인프라코어","8000","-40","-0.50","1596828.0"
"000080","하이트진로","19990","-110","-0.55","1401971.0"
"006110","삼아알미늄","86700","3000","3.58","1275523.0"
"006280","녹십자","118500","500","0.42","1384855.0"
"006360","GS건설","14810","0","0.00","1267462.0"
"009240","한샘","55600","200","0.36","1308486.0"
"014820","동원시스템즈","44650","200","0.45","1294461.0"
"069620","대웅제약","108600","-400","-0.37","1258302.0"
"139130","DGB금융지주","8040","-20","-0.25","1359932.0"
"185750","종근당","106700","-800","-0.74","1405711.0"
"375500","DL이앤씨","35150","300","0.86","1360081.0"
"003620","KG모빌리티","5430","40","0.74","1060116.0"
"001740","SK네트웍스","4925","-75","-1.50","1089794.0"
"000210","DL","56900","1500","2.71","1192390.0"
"009970","영원무역홀딩스","84500","-300","-0.35","1152208.0"
"001120","LX인터내셔널","29600","-250","-0.84","1147296.0"
"005420","코스모화학","30800","1050","3.53","1182973.0"
"069960","현대백화점","49550","0","0.00","1159591.0"
"004000","롯데정밀화학","47500","-300","-0.63","1225500.0"
"004800","효성","59000","0","0.00","1207514.0"
"005300","롯데칠성","128900","-400","-0.31","1196048.0"
"145720","덴티움","110200","-300","-0.27","1219785.0"
"137310","에스디바이오센서","9920","-40","-0.40","1234815.0"
"120110","코오롱인더","40300","-500","-1.23","1109019.0"
"006650","대한유화","150100","3700","2.53","975650.0"
"300720","한일시멘트","13890","590","4.44","962043.0"
"285130","SK케미칼","52500","500","0.96","905824.0"
"003090","대웅","16500","20","0.12","959343.0"
"271940","일진하이솔루스","24350","-650","-2.60","884226.0"
"001800","오리온홀딩스","14810","-80","-0.54","927779.0"
"008730","율촌화학","39400","1000","2.60","977120.0"
"192080","더블유게임즈","43600","-600","-1.36","937222.0"
"039130","하나투어","56500","-800","-1.40","906214.0"
"178920","PI첨단소재","26850","-200","-0.74","788486.0"
"114090","GKL","13290","10","0.08","822062.0"
"105630","한세실업","21000","-1050","-4.76","840000.0"
"093370","후성","7490","110","1.49","803342.0"
"069260","TKG휴켐스","19300","-60","-0.31","788957.0"
"032350","롯데관광개발","9980","140","1.42","760335.0"
"020560","아시아나항공","10910","-170","-1.53","811832.0"
"019170","신풍제약","12780","80","0.63","677148.0"
"016380","KG스틸","6870","30","0.44","687061.0"
"010780","아이에스동서","26500","-400","-1.49","799955.0"
"009900","명신산업","14500","80","0.55","760817.0"
"001680","대상","23350","250","1.08","809031.0"
"001430","세아베스틸지주","22700","100","0.44","814070.0"
"000670","영풍","366000","-3000","-0.81","674187.0"
"005250","녹십자홀딩스","14130","-20","-0.14","664509.0"
